,eventID,account_admin,account_dcadmin,account_hacked,account_user101,account_user103,process_c:\windows\system32\hostname.exe,process_c:\windows\system32\ipconfig.exe,process_c:\windows\system32\netsh.exe,process_c:\windows\system32\netstat.exe,process_c:\windows\system32\ping.exe,process_c:\windows\system32\services.exe,process_c:\windows\system32\wbem\wmic.exe,process_c:\windows\system32\wbem\wmiprvse.exe,objectname_psexesvc,target_outlier,target_test,target_train
9473,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9474,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9475,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9476,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9477,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9478,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9479,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9480,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9481,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9485,4674,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9486,4674,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9488,4674,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9489,4674,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9503,4674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
9504,4674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
9505,4674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
9506,4674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
9508,4674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
9509,4674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
9510,4674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
9511,4674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
9513,4674,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
9514,4674,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
9516,4674,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
9517,4674,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
9626,4674,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
9631,4674,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
9635,4674,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9636,4674,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9638,4674,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9639,4674,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9643,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9644,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9646,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9647,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9648,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9649,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9650,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9651,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9652,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9653,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9654,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9655,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9656,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9657,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9658,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9659,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9662,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9663,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9664,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9665,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9666,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9667,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9668,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9669,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9670,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9671,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9672,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9673,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9674,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9675,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9701,4674,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
9702,4674,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
9704,4674,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
9705,4674,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
9723,4674,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9724,4674,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9725,4674,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9726,4674,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9728,4674,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9729,4674,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9730,4674,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9731,4674,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
28180,4674,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28181,4674,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28224,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
28233,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28234,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28240,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28241,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28242,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28243,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28244,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28245,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28247,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28248,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28249,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28250,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28252,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28253,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28287,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
28293,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28294,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28295,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28296,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28297,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28298,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28299,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28300,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28302,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28303,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28304,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28305,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28306,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28307,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28308,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28320,4674,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28321,4674,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28340,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
30610,4674,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
30618,4674,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
30619,4674,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
30623,4674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
30624,4674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
30626,4674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
30627,4674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
30628,4674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
30629,4674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
30633,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30634,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30636,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30637,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30638,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30639,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30640,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30641,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30642,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30643,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30644,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30645,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30646,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30647,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30648,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
30652,4674,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
30653,4674,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
30669,4674,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
30748,4674,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
30752,4674,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30753,4674,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
32093,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
32097,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32098,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32100,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32101,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32223,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
32228,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32229,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32231,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32232,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32383,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
32390,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32391,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32393,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32394,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33631,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
33635,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33636,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33638,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33639,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33757,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
33764,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33765,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33768,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33769,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33882,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
33887,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33888,4674,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33890,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33891,4674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
36610,4674,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36611,4674,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36624,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
36641,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
36645,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36646,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36647,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36648,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36649,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36650,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36654,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36655,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36656,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36657,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36665,4674,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36666,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36667,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36668,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36669,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36670,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36671,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36672,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36674,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36675,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36676,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36677,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36678,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36679,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36680,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36716,4674,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36717,4674,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36726,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
36731,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36732,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36733,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36734,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36735,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36736,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36742,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36743,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36744,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36745,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36758,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36759,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36760,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36761,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36762,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36763,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36764,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36765,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36767,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36768,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36769,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36770,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36771,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36772,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36773,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36779,4674,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36780,4674,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37036,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
37041,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
37042,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
37043,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
37044,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
37045,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
37046,4674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
37048,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37049,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37050,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37051,4674,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37064,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37065,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37066,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37067,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37068,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37069,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37070,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37071,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37073,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37074,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37075,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37076,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37077,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37078,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37079,4674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37083,4674,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37084,4674,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
40192,4674,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
40193,4674,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
40197,4674,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
40198,4674,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
